starttime	seconds	ctime	dtime	ttime	wait
Sun May 22 00:49:46 2022	1653173386	1	14	14	13
Sun May 22 00:50:07 2022	1653173407	1	13	14	13
Sun May 22 00:49:12 2022	1653173352	1	14	14	12
Sun May 22 00:49:47 2022	1653173387	1	13	14	12
Sun May 22 00:49:20 2022	1653173360	2	12	14	12
Sun May 22 00:49:53 2022	1653173393	1	14	15	12
Sun May 22 00:49:20 2022	1653173360	1	14	15	12
Sun May 22 00:50:00 2022	1653173400	1	14	15	14
Sun May 22 00:49:48 2022	1653173388	1	14	15	13
Sun May 22 00:50:00 2022	1653173400	2	13	15	13
Sun May 22 00:50:00 2022	1653173400	1	15	15	13
Sun May 22 00:49:47 2022	1653173387	1	15	15	14
Sun May 22 00:49:21 2022	1653173361	1	15	15	13
Sun May 22 00:49:44 2022	1653173384	1	15	15	13
Sun May 22 00:49:11 2022	1653173351	1	15	15	14
Sun May 22 00:49:30 2022	1653173370	1	15	15	14
Sun May 22 00:49:47 2022	1653173387	1	15	15	14
Sun May 22 00:49:22 2022	1653173362	1	15	15	14
Sun May 22 00:49:34 2022	1653173374	1	15	16	14
Sun May 22 00:49:36 2022	1653173376	1	15	16	15
Sun May 22 00:49:17 2022	1653173357	1	15	16	15
Sun May 22 00:49:47 2022	1653173387	1	15	16	13
Sun May 22 00:49:32 2022	1653173372	1	15	16	14
Sun May 22 00:49:47 2022	1653173387	1	15	16	15
Sun May 22 00:50:00 2022	1653173400	1	15	16	15
Sun May 22 00:49:51 2022	1653173391	1	15	16	15
Sun May 22 00:50:01 2022	1653173401	1	16	16	15
Sun May 22 00:49:26 2022	1653173366	1	15	16	15
Sun May 22 00:50:02 2022	1653173402	1	15	16	15
Sun May 22 00:49:12 2022	1653173352	1	15	16	15
Sun May 22 00:49:14 2022	1653173354	1	15	16	15
Sun May 22 00:50:01 2022	1653173401	1	16	16	16
Sun May 22 00:50:06 2022	1653173406	1	16	16	15
Sun May 22 00:49:12 2022	1653173352	1	16	16	15
Sun May 22 00:49:20 2022	1653173360	3	13	16	13
Sun May 22 00:49:53 2022	1653173393	1	16	17	15
Sun May 22 00:49:51 2022	1653173391	1	16	17	15
Sun May 22 00:49:46 2022	1653173386	1	16	17	15
Sun May 22 00:49:31 2022	1653173371	1	16	17	15
Sun May 22 00:49:20 2022	1653173360	4	13	17	13
Sun May 22 00:49:26 2022	1653173366	1	16	17	15
Sun May 22 00:49:40 2022	1653173380	1	16	17	14
Sun May 22 00:49:46 2022	1653173386	1	16	17	16
Sun May 22 00:49:35 2022	1653173375	1	16	17	15
Sun May 22 00:49:45 2022	1653173385	1	16	17	15
Sun May 22 00:49:35 2022	1653173375	1	16	17	16
Sun May 22 00:49:27 2022	1653173367	1	16	17	15
Sun May 22 00:49:12 2022	1653173352	1	16	17	16
Sun May 22 00:49:59 2022	1653173399	1	16	17	16
Sun May 22 00:49:58 2022	1653173398	1	16	17	16
Sun May 22 00:49:20 2022	1653173360	2	16	17	15
Sun May 22 00:50:06 2022	1653173406	1	16	17	15
Sun May 22 00:49:50 2022	1653173390	1	16	17	16
Sun May 22 00:49:31 2022	1653173371	1	16	17	16
Sun May 22 00:50:05 2022	1653173405	1	16	17	15
Sun May 22 00:49:51 2022	1653173391	1	17	17	16
Sun May 22 00:49:42 2022	1653173382	1	17	17	16
Sun May 22 00:49:30 2022	1653173370	1	17	17	16
Sun May 22 00:49:46 2022	1653173386	1	17	17	16
Sun May 22 00:49:39 2022	1653173379	1	17	17	15
Sun May 22 00:49:54 2022	1653173394	1	17	17	15
Sun May 22 00:49:14 2022	1653173354	1	17	17	16
Sun May 22 00:49:36 2022	1653173376	1	17	18	16
Sun May 22 00:49:28 2022	1653173368	1	17	18	15
Sun May 22 00:49:50 2022	1653173390	1	17	18	16
Sun May 22 00:49:59 2022	1653173399	1	17	18	16
Sun May 22 00:49:28 2022	1653173368	1	17	18	16
Sun May 22 00:49:26 2022	1653173366	1	17	18	16
Sun May 22 00:50:00 2022	1653173400	1	17	18	17
Sun May 22 00:49:31 2022	1653173371	1	17	18	16
Sun May 22 00:49:37 2022	1653173377	1	17	18	16
Sun May 22 00:49:26 2022	1653173366	1	17	18	16
Sun May 22 00:49:52 2022	1653173392	1	17	18	16
Sun May 22 00:49:59 2022	1653173399	1	17	18	16
Sun May 22 00:49:38 2022	1653173378	1	17	18	16
Sun May 22 00:49:14 2022	1653173354	1	17	18	16
Sun May 22 00:49:54 2022	1653173394	1	17	18	16
Sun May 22 00:49:15 2022	1653173355	1	17	18	17
Sun May 22 00:49:20 2022	1653173360	2	16	18	15
Sun May 22 00:49:24 2022	1653173364	0	18	18	16
Sun May 22 00:49:39 2022	1653173379	1	17	18	16
Sun May 22 00:50:00 2022	1653173400	1	17	18	17
Sun May 22 00:49:14 2022	1653173354	1	17	18	17
Sun May 22 00:49:47 2022	1653173387	1	17	18	16
Sun May 22 00:49:48 2022	1653173388	1	17	18	16
Sun May 22 00:49:58 2022	1653173398	1	17	18	16
Sun May 22 00:49:43 2022	1653173383	1	17	18	16
Sun May 22 00:50:05 2022	1653173405	1	17	18	16
Sun May 22 00:50:01 2022	1653173401	1	17	18	16
Sun May 22 00:49:34 2022	1653173374	1	17	18	15
Sun May 22 00:49:46 2022	1653173386	1	17	18	17
Sun May 22 00:49:58 2022	1653173398	0	18	18	17
Sun May 22 00:49:16 2022	1653173356	1	17	18	17
Sun May 22 00:49:52 2022	1653173392	1	18	18	16
Sun May 22 00:49:34 2022	1653173374	1	18	18	16
Sun May 22 00:49:58 2022	1653173398	1	18	18	17
Sun May 22 00:49:56 2022	1653173396	1	17	18	16
Sun May 22 00:49:38 2022	1653173378	1	18	18	16
Sun May 22 00:50:07 2022	1653173407	2	17	18	16
Sun May 22 00:50:01 2022	1653173401	1	18	18	17
Sun May 22 00:49:35 2022	1653173375	1	18	18	17
Sun May 22 00:49:20 2022	1653173360	1	18	18	17
Sun May 22 00:49:29 2022	1653173369	1	18	18	16
Sun May 22 00:49:22 2022	1653173362	1	17	18	15
Sun May 22 00:49:40 2022	1653173380	1	18	18	17
Sun May 22 00:49:29 2022	1653173369	1	18	18	15
Sun May 22 00:49:18 2022	1653173358	1	18	18	17
Sun May 22 00:49:50 2022	1653173390	1	17	19	16
Sun May 22 00:49:23 2022	1653173363	1	18	19	17
Sun May 22 00:49:38 2022	1653173378	0	18	19	17
Sun May 22 00:50:06 2022	1653173406	1	18	19	16
Sun May 22 00:49:56 2022	1653173396	1	18	19	17
Sun May 22 00:49:13 2022	1653173353	1	18	19	17
Sun May 22 00:49:49 2022	1653173389	1	18	19	17
Sun May 22 00:49:36 2022	1653173376	1	18	19	17
Sun May 22 00:49:58 2022	1653173398	1	18	19	17
Sun May 22 00:49:14 2022	1653173354	1	18	19	17
Sun May 22 00:49:20 2022	1653173360	1	18	19	18
Sun May 22 00:49:51 2022	1653173391	1	18	19	17
Sun May 22 00:49:22 2022	1653173362	1	18	19	17
Sun May 22 00:49:13 2022	1653173353	1	18	19	18
Sun May 22 00:49:19 2022	1653173359	1	18	19	17
Sun May 22 00:49:58 2022	1653173398	1	18	19	18
Sun May 22 00:49:32 2022	1653173372	1	18	19	17
Sun May 22 00:50:00 2022	1653173400	1	18	19	17
Sun May 22 00:49:59 2022	1653173399	1	18	19	18
Sun May 22 00:50:05 2022	1653173405	1	18	19	17
Sun May 22 00:49:34 2022	1653173374	1	18	19	17
Sun May 22 00:49:40 2022	1653173380	1	18	19	18
Sun May 22 00:49:39 2022	1653173379	1	18	19	17
Sun May 22 00:49:38 2022	1653173378	1	18	19	17
Sun May 22 00:49:30 2022	1653173370	1	18	19	16
Sun May 22 00:49:59 2022	1653173399	1	18	19	17
Sun May 22 00:49:35 2022	1653173375	1	19	19	17
Sun May 22 00:49:45 2022	1653173385	1	18	19	17
Sun May 22 00:49:26 2022	1653173366	1	18	19	18
Sun May 22 00:50:03 2022	1653173403	0	19	19	17
Sun May 22 00:49:50 2022	1653173390	1	18	19	18
Sun May 22 00:50:03 2022	1653173403	1	18	19	17
Sun May 22 00:49:23 2022	1653173363	1	19	19	18
Sun May 22 00:50:02 2022	1653173402	1	19	19	18
Sun May 22 00:49:18 2022	1653173358	1	19	19	18
Sun May 22 00:49:50 2022	1653173390	0	19	19	18
Sun May 22 00:49:36 2022	1653173376	1	19	19	18
Sun May 22 00:49:17 2022	1653173357	1	19	19	18
Sun May 22 00:49:51 2022	1653173391	1	19	19	18
Sun May 22 00:50:01 2022	1653173401	1	18	19	17
Sun May 22 00:49:31 2022	1653173371	1	19	19	18
Sun May 22 00:50:05 2022	1653173405	1	18	19	17
Sun May 22 00:50:01 2022	1653173401	1	18	19	18
Sun May 22 00:49:48 2022	1653173388	1	19	19	18
Sun May 22 00:49:39 2022	1653173379	1	19	19	18
Sun May 22 00:49:57 2022	1653173397	1	19	20	18
Sun May 22 00:50:00 2022	1653173400	1	19	20	19
Sun May 22 00:49:39 2022	1653173379	1	19	20	18
Sun May 22 00:49:41 2022	1653173381	1	19	20	17
Sun May 22 00:49:34 2022	1653173374	1	19	20	18
Sun May 22 00:49:11 2022	1653173351	1	19	20	17
Sun May 22 00:49:34 2022	1653173374	1	19	20	18
Sun May 22 00:49:58 2022	1653173398	1	19	20	18
Sun May 22 00:49:57 2022	1653173397	1	19	20	18
Sun May 22 00:49:51 2022	1653173391	1	19	20	18
Sun May 22 00:49:53 2022	1653173393	1	19	20	19
Sun May 22 00:49:57 2022	1653173397	1	19	20	18
Sun May 22 00:49:11 2022	1653173351	1	19	20	18
Sun May 22 00:49:17 2022	1653173357	1	19	20	18
Sun May 22 00:49:40 2022	1653173380	1	19	20	18
Sun May 22 00:49:59 2022	1653173399	1	19	20	18
Sun May 22 00:49:55 2022	1653173395	1	19	20	19
Sun May 22 00:49:57 2022	1653173397	1	19	20	18
Sun May 22 00:49:35 2022	1653173375	1	19	20	19
Sun May 22 00:49:21 2022	1653173361	0	20	20	18
Sun May 22 00:49:49 2022	1653173389	1	19	20	19
Sun May 22 00:49:59 2022	1653173399	1	19	20	18
Sun May 22 00:49:26 2022	1653173366	1	19	20	18
Sun May 22 00:49:14 2022	1653173354	1	20	20	17
Sun May 22 00:49:39 2022	1653173379	1	19	20	17
Sun May 22 00:49:33 2022	1653173373	1	20	20	19
Sun May 22 00:49:57 2022	1653173397	1	20	20	19
Sun May 22 00:49:50 2022	1653173390	1	19	20	18
Sun May 22 00:49:48 2022	1653173388	1	20	20	19
Sun May 22 00:50:05 2022	1653173405	1	20	20	16
Sun May 22 00:49:57 2022	1653173397	1	19	20	18
Sun May 22 00:49:15 2022	1653173355	1	20	20	19
Sun May 22 00:49:38 2022	1653173378	1	20	20	19
Sun May 22 00:49:37 2022	1653173377	1	19	20	19
Sun May 22 00:49:49 2022	1653173389	1	20	20	19
Sun May 22 00:49:43 2022	1653173383	1	20	20	19
Sun May 22 00:50:05 2022	1653173405	1	20	20	19
Sun May 22 00:49:26 2022	1653173366	1	20	20	19
Sun May 22 00:49:10 2022	1653173350	2	18	20	18
Sun May 22 00:49:35 2022	1653173375	1	20	21	18
Sun May 22 00:49:34 2022	1653173374	1	19	21	18
Sun May 22 00:50:06 2022	1653173406	1	20	21	19
Sun May 22 00:50:02 2022	1653173402	1	20	21	19
Sun May 22 00:49:50 2022	1653173390	1	20	21	19
Sun May 22 00:49:26 2022	1653173366	1	20	21	19
Sun May 22 00:49:15 2022	1653173355	1	20	21	18
Sun May 22 00:49:40 2022	1653173380	1	20	21	20
Sun May 22 00:49:13 2022	1653173353	1	20	21	19
Sun May 22 00:49:50 2022	1653173390	1	20	21	19
Sun May 22 00:49:49 2022	1653173389	1	20	21	19
Sun May 22 00:49:14 2022	1653173354	1	20	21	19
Sun May 22 00:49:51 2022	1653173391	1	20	21	19
Sun May 22 00:49:20 2022	1653173360	1	20	21	19
Sun May 22 00:49:58 2022	1653173398	1	20	21	19
Sun May 22 00:49:25 2022	1653173365	1	20	21	19
Sun May 22 00:49:17 2022	1653173357	1	20	21	19
Sun May 22 00:49:48 2022	1653173388	1	20	21	19
Sun May 22 00:49:52 2022	1653173392	1	20	21	19
Sun May 22 00:49:53 2022	1653173393	1	20	21	17
Sun May 22 00:49:57 2022	1653173397	1	20	21	19
Sun May 22 00:49:35 2022	1653173375	1	20	21	20
Sun May 22 00:49:40 2022	1653173380	1	20	21	19
Sun May 22 00:49:32 2022	1653173372	1	20	21	20
Sun May 22 00:49:30 2022	1653173370	1	20	21	20
Sun May 22 00:49:54 2022	1653173394	1	20	21	19
Sun May 22 00:49:55 2022	1653173395	1	20	21	19
Sun May 22 00:49:30 2022	1653173370	1	20	21	19
Sun May 22 00:49:19 2022	1653173359	1	20	21	19
Sun May 22 00:50:00 2022	1653173400	1	20	21	19
Sun May 22 00:50:00 2022	1653173400	1	20	21	19
Sun May 22 00:49:20 2022	1653173360	2	19	21	19
Sun May 22 00:49:34 2022	1653173374	1	20	21	20
Sun May 22 00:49:33 2022	1653173373	1	20	21	17
Sun May 22 00:49:53 2022	1653173393	1	20	21	20
Sun May 22 00:49:56 2022	1653173396	1	20	21	20
Sun May 22 00:49:39 2022	1653173379	0	21	21	19
Sun May 22 00:49:16 2022	1653173356	1	21	21	20
Sun May 22 00:49:36 2022	1653173376	1	21	21	20
Sun May 22 00:50:04 2022	1653173404	1	20	21	20
Sun May 22 00:49:52 2022	1653173392	1	20	21	19
Sun May 22 00:49:58 2022	1653173398	1	21	21	20
Sun May 22 00:50:03 2022	1653173403	1	20	21	19
Sun May 22 00:49:30 2022	1653173370	1	21	21	19
Sun May 22 00:49:31 2022	1653173371	1	20	21	19
Sun May 22 00:50:01 2022	1653173401	1	21	21	20
Sun May 22 00:49:49 2022	1653173389	1	21	21	19
Sun May 22 00:50:06 2022	1653173406	1	21	21	19
Sun May 22 00:49:19 2022	1653173359	1	20	21	19
Sun May 22 00:49:27 2022	1653173367	1	20	21	19
Sun May 22 00:49:53 2022	1653173393	1	21	21	19
Sun May 22 00:49:55 2022	1653173395	1	21	21	19
Sun May 22 00:49:44 2022	1653173384	1	21	21	20
Sun May 22 00:49:47 2022	1653173387	1	21	21	20
Sun May 22 00:49:31 2022	1653173371	1	21	21	20
Sun May 22 00:49:57 2022	1653173397	1	21	21	20
Sun May 22 00:49:27 2022	1653173367	1	21	22	20
Sun May 22 00:49:39 2022	1653173379	1	21	22	18
Sun May 22 00:49:53 2022	1653173393	1	21	22	20
Sun May 22 00:49:22 2022	1653173362	0	21	22	20
Sun May 22 00:49:18 2022	1653173358	0	21	22	19
Sun May 22 00:49:57 2022	1653173397	1	21	22	20
Sun May 22 00:49:36 2022	1653173376	1	21	22	20
Sun May 22 00:49:29 2022	1653173369	1	21	22	20
Sun May 22 00:49:50 2022	1653173390	1	21	22	20
Sun May 22 00:49:44 2022	1653173384	1	21	22	20
Sun May 22 00:49:25 2022	1653173365	1	20	22	20
Sun May 22 00:49:56 2022	1653173396	1	21	22	20
Sun May 22 00:50:02 2022	1653173402	1	21	22	20
Sun May 22 00:49:29 2022	1653173369	1	21	22	19
Sun May 22 00:49:13 2022	1653173353	1	21	22	20
Sun May 22 00:49:34 2022	1653173374	1	21	22	20
Sun May 22 00:49:15 2022	1653173355	1	21	22	19
Sun May 22 00:49:19 2022	1653173359	1	21	22	20
Sun May 22 00:49:47 2022	1653173387	1	21	22	20
Sun May 22 00:49:25 2022	1653173365	1	21	22	20
Sun May 22 00:49:31 2022	1653173371	1	21	22	20
Sun May 22 00:49:51 2022	1653173391	1	21	22	19
Sun May 22 00:50:06 2022	1653173406	1	21	22	20
Sun May 22 00:49:49 2022	1653173389	0	21	22	21
Sun May 22 00:49:33 2022	1653173373	1	21	22	20
Sun May 22 00:50:05 2022	1653173405	1	21	22	20
Sun May 22 00:49:48 2022	1653173388	1	21	22	20
Sun May 22 00:50:06 2022	1653173406	1	21	22	21
Sun May 22 00:50:01 2022	1653173401	1	21	22	19
Sun May 22 00:49:26 2022	1653173366	1	21	22	20
Sun May 22 00:49:31 2022	1653173371	1	21	22	21
Sun May 22 00:49:49 2022	1653173389	1	21	22	20
Sun May 22 00:49:40 2022	1653173380	1	21	22	20
Sun May 22 00:49:39 2022	1653173379	1	21	22	20
Sun May 22 00:49:50 2022	1653173390	1	21	22	21
Sun May 22 00:49:22 2022	1653173362	1	21	22	19
Sun May 22 00:49:34 2022	1653173374	1	21	22	21
Sun May 22 00:49:50 2022	1653173390	1	22	22	21
Sun May 22 00:49:43 2022	1653173383	1	21	22	20
Sun May 22 00:49:40 2022	1653173380	1	21	22	20
Sun May 22 00:49:51 2022	1653173391	1	21	22	20
Sun May 22 00:49:44 2022	1653173384	1	21	22	21
Sun May 22 00:49:34 2022	1653173374	1	22	22	21
Sun May 22 00:49:16 2022	1653173356	1	21	22	20
Sun May 22 00:49:27 2022	1653173367	0	22	22	20
Sun May 22 00:49:56 2022	1653173396	1	21	22	20
Sun May 22 00:49:28 2022	1653173368	1	22	22	21
Sun May 22 00:49:49 2022	1653173389	1	21	22	20
Sun May 22 00:49:11 2022	1653173351	1	22	22	21
Sun May 22 00:49:56 2022	1653173396	1	21	22	21
Sun May 22 00:49:57 2022	1653173397	1	21	22	20
Sun May 22 00:49:38 2022	1653173378	1	21	22	20
Sun May 22 00:49:14 2022	1653173354	1	22	22	21
Sun May 22 00:50:04 2022	1653173404	1	22	22	21
Sun May 22 00:49:34 2022	1653173374	1	21	22	21
Sun May 22 00:49:13 2022	1653173353	1	22	22	21
Sun May 22 00:49:46 2022	1653173386	1	22	22	20
Sun May 22 00:49:10 2022	1653173350	1	22	22	21
Sun May 22 00:50:04 2022	1653173404	1	21	22	19
Sun May 22 00:49:40 2022	1653173380	1	22	22	20
Sun May 22 00:49:12 2022	1653173352	1	22	22	21
Sun May 22 00:49:33 2022	1653173373	1	22	22	21
Sun May 22 00:49:27 2022	1653173367	1	22	22	20
Sun May 22 00:49:31 2022	1653173371	1	22	22	22
Sun May 22 00:49:59 2022	1653173399	1	22	22	20
Sun May 22 00:49:34 2022	1653173374	1	22	22	21
Sun May 22 00:49:14 2022	1653173354	1	22	22	21
Sun May 22 00:49:14 2022	1653173354	1	21	22	20
Sun May 22 00:49:31 2022	1653173371	1	21	23	20
Sun May 22 00:49:45 2022	1653173385	1	22	23	21
Sun May 22 00:49:53 2022	1653173393	1	22	23	22
Sun May 22 00:49:28 2022	1653173368	1	22	23	21
Sun May 22 00:49:31 2022	1653173371	1	22	23	21
Sun May 22 00:49:28 2022	1653173368	1	22	23	21
Sun May 22 00:49:27 2022	1653173367	1	22	23	21
Sun May 22 00:49:25 2022	1653173365	1	22	23	20
Sun May 22 00:49:33 2022	1653173373	0	22	23	21
Sun May 22 00:50:07 2022	1653173407	1	22	23	21
Sun May 22 00:50:02 2022	1653173402	1	22	23	22
Sun May 22 00:49:36 2022	1653173376	1	22	23	20
Sun May 22 00:50:02 2022	1653173402	1	22	23	21
Sun May 22 00:49:27 2022	1653173367	1	22	23	21
Sun May 22 00:49:35 2022	1653173375	1	22	23	21
Sun May 22 00:49:21 2022	1653173361	1	22	23	21
Sun May 22 00:49:12 2022	1653173352	1	22	23	21
Sun May 22 00:49:34 2022	1653173374	1	22	23	20
Sun May 22 00:49:31 2022	1653173371	1	22	23	20
Sun May 22 00:49:15 2022	1653173355	0	22	23	22
Sun May 22 00:49:17 2022	1653173357	1	22	23	21
Sun May 22 00:49:43 2022	1653173383	1	22	23	21
Sun May 22 00:50:02 2022	1653173402	1	22	23	21
Sun May 22 00:49:51 2022	1653173391	1	22	23	21
Sun May 22 00:49:48 2022	1653173388	1	22	23	21
Sun May 22 00:49:52 2022	1653173392	1	22	23	21
Sun May 22 00:49:22 2022	1653173362	1	22	23	21
Sun May 22 00:49:24 2022	1653173364	1	22	23	22
Sun May 22 00:49:12 2022	1653173352	1	22	23	21
Sun May 22 00:49:40 2022	1653173380	1	22	23	21
Sun May 22 00:49:45 2022	1653173385	1	22	23	21
Sun May 22 00:49:34 2022	1653173374	1	22	23	21
Sun May 22 00:49:44 2022	1653173384	1	22	23	21
Sun May 22 00:49:20 2022	1653173360	1	22	23	20
Sun May 22 00:49:17 2022	1653173357	1	22	23	22
Sun May 22 00:49:42 2022	1653173382	1	22	23	21
Sun May 22 00:49:52 2022	1653173392	1	22	23	21
Sun May 22 00:49:29 2022	1653173369	1	22	23	21
Sun May 22 00:49:41 2022	1653173381	1	22	23	22
Sun May 22 00:50:00 2022	1653173400	3	20	23	19
Sun May 22 00:49:20 2022	1653173360	1	23	23	22
Sun May 22 00:49:43 2022	1653173383	1	22	23	22
Sun May 22 00:49:20 2022	1653173360	1	22	23	22
Sun May 22 00:49:38 2022	1653173378	1	22	23	22
Sun May 22 00:49:28 2022	1653173368	0	23	23	22
Sun May 22 00:49:10 2022	1653173350	2	22	23	10
Sun May 22 00:49:16 2022	1653173356	2	21	23	21
Sun May 22 00:49:13 2022	1653173353	1	23	23	22
Sun May 22 00:49:52 2022	1653173392	1	22	23	21
Sun May 22 00:49:12 2022	1653173352	1	23	23	21
Sun May 22 00:49:48 2022	1653173388	1	22	23	22
Sun May 22 00:49:40 2022	1653173380	1	23	23	21
Sun May 22 00:49:54 2022	1653173394	0	23	23	22
Sun May 22 00:49:12 2022	1653173352	1	22	23	21
Sun May 22 00:49:59 2022	1653173399	1	23	23	21
Sun May 22 00:49:56 2022	1653173396	1	23	23	22
Sun May 22 00:50:02 2022	1653173402	0	23	23	22
Sun May 22 00:49:22 2022	1653173362	1	23	23	22
Sun May 22 00:49:21 2022	1653173361	1	23	23	21
Sun May 22 00:49:50 2022	1653173390	1	22	23	22
Sun May 22 00:50:00 2022	1653173400	1	23	23	21
Sun May 22 00:49:13 2022	1653173353	1	23	23	22
Sun May 22 00:49:12 2022	1653173352	1	22	23	21
Sun May 22 00:49:19 2022	1653173359	1	22	23	22
Sun May 22 00:49:27 2022	1653173367	1	23	23	23
Sun May 22 00:49:49 2022	1653173389	1	22	23	22
Sun May 22 00:49:40 2022	1653173380	1	23	23	22
Sun May 22 00:49:46 2022	1653173386	1	23	23	22
Sun May 22 00:49:31 2022	1653173371	1	22	23	22
Sun May 22 00:49:10 2022	1653173350	3	20	23	20
Sun May 22 00:50:03 2022	1653173403	1	23	23	22
Sun May 22 00:49:56 2022	1653173396	1	23	23	21
Sun May 22 00:49:39 2022	1653173379	1	23	23	22
Sun May 22 00:49:14 2022	1653173354	1	23	23	21
Sun May 22 00:49:36 2022	1653173376	0	23	23	22
Sun May 22 00:49:18 2022	1653173358	1	23	24	22
Sun May 22 00:49:30 2022	1653173370	1	23	24	22
Sun May 22 00:49:49 2022	1653173389	1	23	24	21
Sun May 22 00:50:02 2022	1653173402	1	23	24	21
Sun May 22 00:50:04 2022	1653173404	1	23	24	21
Sun May 22 00:49:25 2022	1653173365	1	23	24	22
Sun May 22 00:50:05 2022	1653173405	1	23	24	22
Sun May 22 00:49:51 2022	1653173391	1	23	24	22
Sun May 22 00:49:10 2022	1653173350	3	21	24	20
Sun May 22 00:49:22 2022	1653173362	1	23	24	21
Sun May 22 00:49:27 2022	1653173367	1	23	24	22
Sun May 22 00:50:03 2022	1653173403	1	23	24	22
Sun May 22 00:49:32 2022	1653173372	1	23	24	22
Sun May 22 00:49:42 2022	1653173382	1	23	24	23
Sun May 22 00:49:33 2022	1653173373	1	23	24	22
Sun May 22 00:49:45 2022	1653173385	1	23	24	22
Sun May 22 00:49:56 2022	1653173396	1	23	24	22
Sun May 22 00:49:37 2022	1653173377	1	23	24	22
Sun May 22 00:50:00 2022	1653173400	1	23	24	22
Sun May 22 00:50:06 2022	1653173406	0	23	24	23
Sun May 22 00:49:34 2022	1653173374	1	23	24	23
Sun May 22 00:50:00 2022	1653173400	1	23	24	21
Sun May 22 00:49:57 2022	1653173397	1	23	24	22
Sun May 22 00:49:16 2022	1653173356	1	23	24	22
Sun May 22 00:49:17 2022	1653173357	1	23	24	22
Sun May 22 00:49:10 2022	1653173350	1	23	24	20
Sun May 22 00:49:13 2022	1653173353	1	23	24	22
Sun May 22 00:49:35 2022	1653173375	1	23	24	22
Sun May 22 00:49:23 2022	1653173363	1	23	24	22
Sun May 22 00:50:01 2022	1653173401	1	23	24	22
Sun May 22 00:50:01 2022	1653173401	1	23	24	22
Sun May 22 00:49:35 2022	1653173375	1	23	24	22
Sun May 22 00:49:18 2022	1653173358	1	23	24	23
Sun May 22 00:49:11 2022	1653173351	1	23	24	22
Sun May 22 00:49:49 2022	1653173389	1	23	24	23
Sun May 22 00:49:49 2022	1653173389	1	23	24	22
Sun May 22 00:49:35 2022	1653173375	1	23	24	23
Sun May 22 00:49:20 2022	1653173360	1	23	24	22
Sun May 22 00:49:11 2022	1653173351	1	23	24	22
Sun May 22 00:49:53 2022	1653173393	1	23	24	21
Sun May 22 00:49:35 2022	1653173375	1	23	24	23
Sun May 22 00:49:31 2022	1653173371	1	23	24	22
Sun May 22 00:49:36 2022	1653173376	1	24	24	23
Sun May 22 00:49:17 2022	1653173357	1	23	24	22
Sun May 22 00:49:57 2022	1653173397	1	23	24	22
Sun May 22 00:49:19 2022	1653173359	1	24	24	23
Sun May 22 00:49:44 2022	1653173384	1	23	24	22
Sun May 22 00:49:32 2022	1653173372	1	23	24	22
Sun May 22 00:49:14 2022	1653173354	1	23	24	23
Sun May 22 00:49:25 2022	1653173365	1	23	24	23
Sun May 22 00:49:46 2022	1653173386	1	24	24	23
Sun May 22 00:49:25 2022	1653173365	1	24	24	23
Sun May 22 00:50:02 2022	1653173402	1	23	24	22
Sun May 22 00:50:06 2022	1653173406	1	23	24	22
Sun May 22 00:49:46 2022	1653173386	1	23	24	22
Sun May 22 00:49:59 2022	1653173399	1	23	24	22
Sun May 22 00:49:47 2022	1653173387	1	24	24	23
Sun May 22 00:49:50 2022	1653173390	1	24	24	22
Sun May 22 00:49:23 2022	1653173363	1	24	24	23
